Model,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC
XGBoost (Preproc),0.9994557775359011,0.9036144578313253,0.7653061224489796,0.8287292817679558,0.9434167307891079,0.7947042129880132
CatBoost (Preproc),0.9995786664794073,0.9625,0.7857142857142857,0.8651685393258427,0.9649902237203265,0.8406662914183433
DenseNet (Preproc),0.9991397773954567,0.7130434782608696,0.8367346938775511,0.7699530516431925,0.9711052435887129,0.7456179395315071
Proposed Ensemble,0.9995786664794073,0.9302325581395349,0.8163265306122449,0.8695652173913043,0.9798278097113916,0.8658485644061725
